clip_id,session_id,driver,lap,filename,label,annotator,notes
2024-british-r-LEC-142152,2024-british-r,LEC,,2024-british-r-LEC-142152.mp3,Tired,,2024-07-07T13:22:02.763Z
2024-british-r-RUS-142417,2024-british-r,RUS,,2024-british-r-RUS-142417.mp3,Tired,,2024-07-07T13:24:48.284Z
2024-british-r-SAI-143017,2024-british-r,SAI,,2024-british-r-SAI-143017.mp3,Tired,,2024-07-07T13:30:50.6708717Z
2024-british-r-ALB-150548,2024-british-r,ALB,2,2024-british-r-ALB-150548.mp3,Stressed,,2024-07-07T14:06:02.379Z
2024-british-r-SAR-150723,2024-british-r,SAR,3,2024-british-r-SAR-150723.mp3,Tired,,2024-07-07T14:07:42.149Z
2024-british-r-NOR-150833,2024-british-r,NOR,4,2024-british-r-NOR-150833.mp3,Calm,,2024-07-07T14:08:48.805Z
2024-british-r-VER-151054,2024-british-r,VER,6,2024-british-r-VER-151054.mp3,Tired,,2024-07-07T14:11:03.035Z
2024-british-r-LEC-151617,2024-british-r,LEC,9,2024-british-r-LEC-151617.mp3,Calm,,2024-07-07T14:16:34.259Z
2024-british-r-NOR-151920,2024-british-r,NOR,11,2024-british-r-NOR-151920.mp3,Tired,,2024-07-07T14:19:51.205Z
2024-british-r-VER-151958,2024-british-r,VER,12,2024-british-r-VER-151958.mp3,Calm,,2024-07-07T14:20:25.093Z
2024-british-r-HUL-152229,2024-british-r,HUL,13,2024-british-r-HUL-152229.mp3,Tired,,2024-07-07T14:22:37.268Z
2024-british-r-RUS-152442,2024-british-r,RUS,15,2024-british-r-RUS-152442.mp3,Stressed,,2024-07-07T14:24:50.997Z
2024-british-r-LEC-152706,2024-british-r,LEC,16,2024-british-r-LEC-152706.mp3,Calm,,2024-07-07T14:27:36.618Z
2024-british-r-VER-152923,2024-british-r,VER,18,2024-british-r-VER-152923.mp3,Calm,,2024-07-07T14:29:47.13Z
2024-british-r-NOR-153122,2024-british-r,NOR,19,2024-british-r-NOR-153122.mp3,Calm,,2024-07-07T14:31:27.464Z
2024-british-r-HAM-153419,2024-british-r,HAM,21,2024-british-r-HAM-153419.mp3,Calm,,2024-07-07T14:34:44.81Z
2024-british-r-PER-153613,2024-british-r,PER,21,2024-british-r-PER-153613.mp3,Stressed,,2024-07-07T14:36:24.592Z
2024-british-r-NOR-153937,2024-british-r,NOR,24,2024-british-r-NOR-153937.mp3,Calm,,2024-07-07T14:40:16.2276083Z
2024-british-r-PIA-154207,2024-british-r,PIA,26,2024-british-r-PIA-154207.mp3,Calm,,2024-07-07T14:42:29.799Z
2024-british-r-VER-154654,2024-british-r,VER,28,2024-british-r-VER-154654.mp3,Tired,,2024-07-07T14:47:26.651Z
2024-british-r-HAM-154756,2024-british-r,HAM,29,2024-british-r-HAM-154756.mp3,Calm,,2024-07-07T14:48:32.6287483Z
2024-british-r-VER-155059,2024-british-r,VER,31,2024-british-r-VER-155059.mp3,Calm,,2024-07-07T14:51:18.205Z
